Id,Latitude,Longitude,Zone,Franchisee
4363,40.83326,-73.914258,C,Crown Castle NG East LLC
4364,40.865257,-73.893443,C,Crown Castle NG East LLC
4365,40.835015,-73.91938,C,Crown Castle NG East LLC
4366,40.837622,-73.914535,C,Crown Castle NG East LLC
4367,40.842049,-73.91531,C,Crown Castle NG East LLC
4368,40.838869,-73.916419,C,Crown Castle NG East LLC
4369,40.833176,-73.919097,C,Crown Castle NG East LLC
4370,40.837223,-73.909566,C,Crown Castle NG East LLC
4371,40.839231,-73.899028,C,Crown Castle NG East LLC
4372,40.84096,-73.912575,C,Crown Castle NG East LLC
4373,40.842897,-73.910549,C,Crown Castle NG East LLC
4374,40.840385,-73.914394,C,Crown Castle NG East LLC
4375,40.843618,-73.912919,C,Crown Castle NG East LLC
4377,40.832643,-73.89158,C,Crown Castle NG East LLC
4378,40.835362,-73.887944,C,Crown Castle NG East LLC
4380,40.845378,-73.918251,C,Crown Castle NG East LLC
4381,40.835828,-73.905835,C,Crown Castle NG East LLC
4382,40.841033,-73.91762,C,Crown Castle NG East LLC
4383,40.842179,-73.920113,C,Crown Castle NG East LLC
4384,40.839007,-73.921757,C,Crown Castle NG East LLC
4385,40.828227,-73.901947,C,Crown Castle NG East LLC
4386,40.832168,-73.927182,C,Crown Castle NG East LLC
4387,40.832345,-73.924732,C,Crown Castle NG East LLC
4388,40.830949,-73.900812,C,Crown Castle NG East LLC
4389,40.831731,-73.930153,C,Crown Castle NG East LLC
4391,40.838216,-73.929727,C,Crown Castle NG East LLC
4392,40.84024,-73.926367,C,Crown Castle NG East LLC
4393,40.833092,-73.906359,C,Crown Castle NG East LLC
4395,40.842579,-73.922743,C,Crown Castle NG East LLC
4396,40.847299,-73.922051,C,Crown Castle NG East LLC
4398,40.858492,-73.903247,C,Crown Castle NG East LLC
4399,40.853394,-73.90881,C,Crown Castle NG East LLC
4400,40.855043,-73.908374,C,Crown Castle NG East LLC
4401,40.859045,-73.898333,C,Crown Castle NG East LLC
4402,40.847267,-73.915039,C,Crown Castle NG East LLC
4403,40.848311,-73.90602,C,Crown Castle NG East LLC
4404,40.825067,-73.903682,C,Crown Castle NG East LLC
4405,40.847588,-73.901159,C,Crown Castle NG East LLC
4406,40.860843,-73.895442,C,Crown Castle NG East LLC
4407,40.835479,-73.915401,C,Crown Castle NG East LLC
4408,40.856623,-73.897307,C,Crown Castle NG East LLC
4409,40.861324,-73.890434,C,Crown Castle NG East LLC
4411,40.854341,-73.890334,C,Crown Castle NG East LLC
4412,40.851062,-73.887888,C,Crown Castle NG East LLC
4414,40.871384,-73.888429,C,Crown Castle NG East LLC
4415,40.849052,-73.890516,C,Crown Castle NG East LLC
4416,40.874106,-73.884776,C,Crown Castle NG East LLC
4417,40.84626,-73.892703,C,Crown Castle NG East LLC
4418,40.87123,-73.88016,C,Crown Castle NG East LLC
4419,40.84844,-73.893098,C,Crown Castle NG East LLC
4420,40.847069,-73.883391,C,Crown Castle NG East LLC
4421,40.841542,-73.878995,C,Crown Castle NG East LLC
4422,40.845965,-73.921536,C,Crown Castle NG East LLC
4423,40.840642,-73.881646,C,Crown Castle NG East LLC
4424,40.867036,-73.891238,C,Crown Castle NG East LLC
4425,40.842124,-73.881936,C,Crown Castle NG East LLC
4426,40.859089,-73.905737,C,Crown Castle NG East LLC
4427,40.86884,-73.894956,C,Crown Castle NG East LLC
4428,40.839892,-73.873711,C,Crown Castle NG East LLC
4429,40.860368,-73.909321,C,Crown Castle NG East LLC
4430,40.865841,-73.896117,C,Crown Castle NG East LLC
4431,40.851665,-73.909167,C,Crown Castle NG East LLC
4432,40.854538,-73.915926,C,Crown Castle NG East LLC
4433,40.864032,-73.908904,C,Crown Castle NG East LLC
4434,40.846982,-73.908215,C,Crown Castle NG East LLC
4435,40.86271,-73.896625,C,Crown Castle NG East LLC
4436,40.852627,-73.903758,C,Crown Castle NG East LLC
4437,40.864551,-73.902049,C,Crown Castle NG East LLC
4438,40.84847,-73.91288,C,Crown Castle NG East LLC
4439,40.848344,-73.909789,C,Crown Castle NG East LLC
4440,40.881635,-73.874811,B,Crown Castle NG East LLC
4441,40.884115,-73.879178,C,Crown Castle NG East LLC
4442,40.852821,-73.905981,C,Crown Castle NG East LLC
4444,40.852545,-73.914826,C,Crown Castle NG East LLC
4445,40.867611,-73.898696,C,Crown Castle NG East LLC
4446,40.862033,-73.900487,C,Crown Castle NG East LLC
4447,40.860877,-73.90363,C,Crown Castle NG East LLC
4448,40.864081,-73.904233,C,Crown Castle NG East LLC
4449,40.883133,-73.882258,C,Crown Castle NG East LLC
4450,40.874784,-73.877145,C,Crown Castle NG East LLC
4451,40.880397,-73.87729,C,Crown Castle NG East LLC
4452,40.87096,-73.876794,C,Crown Castle NG East LLC
4453,40.87218,-73.8856,C,Crown Castle NG East LLC
4454,40.87877,-73.882797,C,Crown Castle NG East LLC
4455,40.874859,-73.891189,C,Crown Castle NG East LLC
4456,40.87072,-73.891775,C,Crown Castle NG East LLC
4457,40.875669,-73.8835,C,Crown Castle NG East LLC
4458,40.877208,-73.885251,C,Crown Castle NG East LLC
4459,40.880255,-73.882798,C,Crown Castle NG East LLC
4460,40.873749,-73.876796,C,Crown Castle NG East LLC
4461,40.868052,-73.8856,C,Crown Castle NG East LLC
4462,40.865453,-73.886541,C,Crown Castle NG East LLC
4463,40.86953,-73.889788,C,Crown Castle NG East LLC
4464,40.880199,-73.871866,C,Crown Castle NG East LLC
4465,40.874894,-73.879915,C,Crown Castle NG East LLC
4471,40.77441,-73.826188,B,Crown Castle NG East LLC
4493,40.596134,-74.141906,B,Crown Castle NG East LLC
4513,40.81683,-73.896873,C,Crown Castle NG East LLC
4514,40.823168,-73.888477,C,Crown Castle NG East LLC
4515,40.808397,-73.871882,C,Crown Castle NG East LLC
4516,40.816679,-73.888864,C,Crown Castle NG East LLC
4517,40.82684,-73.888034,C,Crown Castle NG East LLC
4518,40.7392,-73.815234,B,Crown Castle NG East LLC
4519,40.86184,-73.820305,B,Crown Castle NG East LLC
4525,40.76269,-73.82267,B,Crown Castle NG East LLC
4526,40.804779,-73.918799,C,Crown Castle NG East LLC
4527,40.827417,-73.922696,C,Crown Castle NG East LLC
4528,40.82442,-73.852358,B,Crown Castle NG East LLC
4530,40.839439,-73.841757,B,Crown Castle NG East LLC
4531,40.842384,-73.898218,C,Crown Castle NG East LLC
4532,40.856766,-73.865751,B,Crown Castle NG East LLC
4535,40.856622,-73.837006,B,Crown Castle NG East LLC
4537,40.896033,-73.85744,B,Crown Castle NG East LLC
4553,40.802954,-73.908417,C,Crown Castle NG East LLC
4554,40.81897,-73.916354,C,Crown Castle NG East LLC
4555,40.607649,-74.07396,B,Crown Castle NG East LLC
4556,40.856046,-73.869957,B,Crown Castle NG East LLC
4557,40.862628,-73.843553,B,Crown Castle NG East LLC
4558,40.865658,-73.862396,B,Crown Castle NG East LLC
4559,40.6329,-74.104233,B,Crown Castle NG East LLC
4560,40.632864,-74.16158,B,Crown Castle NG East LLC
4562,40.860466,-73.856728,B,Crown Castle NG East LLC
4563,40.859761,-73.858971,B,Crown Castle NG East LLC
4564,40.627158,-74.084021,B,Crown Castle NG East LLC
4565,40.825086,-73.913268,C,Crown Castle NG East LLC
4566,40.625411,-74.101758,B,Crown Castle NG East LLC
4567,40.818631,-73.82316,B,Crown Castle NG East LLC
4568,40.829749,-73.867667,B,Crown Castle NG East LLC
4569,40.627323,-74.117997,B,Crown Castle NG East LLC
4570,40.863137,-73.859589,B,Crown Castle NG East LLC
4571,40.879741,-73.835351,B,Crown Castle NG East LLC
4572,40.831332,-73.855114,B,Crown Castle NG East LLC
4573,40.844111,-73.855108,B,Crown Castle NG East LLC
4574,40.854924,-73.911259,C,Crown Castle NG East LLC
4576,40.631218,-74.127659,B,Crown Castle NG East LLC
4577,40.820656,-73.888163,C,Crown Castle NG East LLC
4578,40.820459,-73.914054,C,Crown Castle NG East LLC
4579,40.818725,-73.908916,C,Crown Castle NG East LLC
4581,40.628094,-74.103567,B,Crown Castle NG East LLC
4582,40.814543,-73.885453,C,Crown Castle NG East LLC
4583,40.879864,-73.906423,B,Crown Castle NG East LLC
4585,40.879855,-73.842254,B,Crown Castle NG East LLC
4586,40.878646,-73.91697,B,Crown Castle NG East LLC
4587,40.82909,-73.87732,B,Crown Castle NG East LLC
4588,40.628005,-74.151477,B,Crown Castle NG East LLC
4589,40.879074,-73.865171,B,Crown Castle NG East LLC
4590,40.619065,-74.077571,B,Crown Castle NG East LLC
4591,40.850459,-73.91578,C,Crown Castle NG East LLC
4592,40.828563,-73.853602,B,Crown Castle NG East LLC
4593,40.83854,-73.849384,B,Crown Castle NG East LLC
4594,40.837419,-73.92323,C,Crown Castle NG East LLC
4595,40.84647,-73.903756,C,Crown Castle NG East LLC
4597,40.836468,-73.893297,C,Crown Castle NG East LLC
4598,40.86033,-73.840825,B,Crown Castle NG East LLC
